Overall,Balance,Stamina,Strength,HeadingAccuracy,ShortPassing,LongPassing,Dribbling,BallControl,Acceleration,SprintSpeed,Agility,ShotPower,Aggression,Jumping,Vision,Composure,StandingTackle,SlidingTackle
77,72.0,89.0,65.0,56.0,73.0,74.0,73.0,74.0,77.0,79.0,76.0,69.0,68.0,69.0,73.0,74.0,76.0,77.0
77,62.0,74.0,79.0,78.0,71.0,66.0,52.0,60.0,74.0,72.0,65.0,42.0,80.0,82.0,44.0,74.0,76.0,75.0
77,42.0,34.0,56.0,19.0,31.0,32.0,10.0,18.0,47.0,50.0,65.0,25.0,19.0,75.0,48.0,57.0,10.0,12.0
77,81.0,88.0,67.0,58.0,78.0,76.0,77.0,78.0,78.0,74.0,78.0,76.0,86.0,90.0,76.0,77.0,72.0,76.0
77,74.0,72.0,61.0,64.0,80.0,76.0,78.0,81.0,68.0,69.0,74.0,74.0,77.0,70.0,75.0,80.0,74.0,65.0
77,82.0,79.0,59.0,50.0,70.0,48.0,81.0,80.0,92.0,94.0,90.0,74.0,48.0,74.0,69.0,75.0,25.0,18.0
77,68.0,77.0,67.0,66.0,78.0,74.0,77.0,78.0,59.0,65.0,68.0,86.0,78.0,59.0,77.0,79.0,70.0,69.0
77,33.0,71.0,78.0,81.0,79.0,60.0,38.0,70.0,41.0,63.0,32.0,48.0,79.0,70.0,54.0,65.0,81.0,78.0
77,64.0,65.0,66.0,57.0,77.0,74.0,81.0,78.0,73.0,77.0,78.0,74.0,63.0,61.0,76.0,77.0,35.0,38.0
77,53.0,36.0,65.0,17.0,39.0,35.0,18.0,35.0,53.0,54.0,63.0,23.0,23.0,72.0,32.0,63.0,11.0,14.0
77,62.0,79.0,77.0,68.0,77.0,74.0,73.0,74.0,66.0,76.0,65.0,75.0,76.0,75.0,60.0,74.0,79.0,78.0
77,68.0,83.0,67.0,62.0,83.0,77.0,82.0,83.0,67.0,73.0,68.0,63.0,66.0,74.0,73.0,80.0,72.0,64.0
77,61.0,75.0,79.0,72.0,76.0,52.0,78.0,72.0,90.0,90.0,76.0,75.0,75.0,62.0,47.0,65.0,76.0,79.0
77,71.0,79.0,73.0,73.0,75.0,74.0,75.0,77.0,74.0,70.0,69.0,72.0,76.0,77.0,75.0,76.0,77.0,76.0
77,48.0,69.0,83.0,74.0,64.0,59.0,43.0,60.0,64.0,68.0,46.0,50.0,77.0,73.0,40.0,72.0,78.0,80.0
77,72.0,81.0,77.0,74.0,80.0,79.0,75.0,76.0,68.0,73.0,73.0,69.0,75.0,85.0,76.0,76.0,78.0,71.0
77,65.0,81.0,78.0,64.0,71.0,59.0,73.0,74.0,74.0,76.0,63.0,68.0,74.0,70.0,55.0,79.0,80.0,78.0
77,68.0,74.0,82.0,81.0,68.0,44.0,73.0,77.0,67.0,68.0,60.0,77.0,66.0,80.0,70.0,77.0,37.0,29.0
77,69.0,84.0,70.0,59.0,82.0,76.0,76.0,80.0,68.0,70.0,78.0,66.0,82.0,58.0,78.0,75.0,76.0,72.0
77,71.0,82.0,77.0,72.0,70.0,68.0,66.0,74.0,78.0,77.0,73.0,78.0,85.0,85.0,48.0,75.0,78.0,83.0
77,40.0,34.0,72.0,14.0,30.0,20.0,17.0,20.0,42.0,48.0,50.0,19.0,20.0,65.0,55.0,32.0,19.0,15.0
77,78.0,71.0,58.0,49.0,70.0,55.0,79.0,75.0,90.0,89.0,79.0,73.0,59.0,55.0,69.0,71.0,33.0,29.0
77,82.0,72.0,34.0,53.0,76.0,72.0,79.0,78.0,79.0,72.0,80.0,80.0,80.0,63.0,73.0,67.0,35.0,27.0
77,68.0,71.0,79.0,72.0,73.0,47.0,76.0,77.0,75.0,74.0,74.0,82.0,43.0,70.0,59.0,75.0,33.0,24.0
77,58.0,75.0,81.0,72.0,78.0,78.0,67.0,75.0,50.0,67.0,58.0,84.0,79.0,72.0,75.0,75.0,78.0,68.0
77,29.0,30.0,70.0,16.0,19.0,11.0,14.0,19.0,50.0,48.0,59.0,24.0,13.0,74.0,56.0,48.0,18.0,12.0
77,79.0,71.0,69.0,44.0,76.0,72.0,74.0,75.0,87.0,85.0,86.0,67.0,60.0,36.0,77.0,73.0,51.0,46.0
77,94.0,63.0,30.0,36.0,74.0,73.0,79.0,79.0,91.0,85.0,90.0,69.0,30.0,58.0,77.0,71.0,31.0,18.0
77,51.0,69.0,72.0,68.0,79.0,78.0,76.0,78.0,60.0,54.0,64.0,73.0,73.0,69.0,74.0,65.0,77.0,69.0
77,34.0,67.0,90.0,68.0,68.0,68.0,57.0,60.0,49.0,63.0,54.0,75.0,86.0,76.0,52.0,73.0,79.0,75.0
77,75.0,90.0,68.0,61.0,80.0,77.0,71.0,80.0,68.0,64.0,74.0,75.0,79.0,73.0,77.0,79.0,71.0,67.0
77,74.0,63.0,70.0,58.0,75.0,76.0,76.0,78.0,69.0,69.0,79.0,83.0,73.0,69.0,82.0,78.0,65.0,59.0
77,85.0,74.0,43.0,35.0,75.0,77.0,80.0,76.0,85.0,77.0,87.0,72.0,44.0,53.0,80.0,68.0,26.0,30.0
77,76.0,86.0,71.0,64.0,75.0,70.0,80.0,79.0,67.0,73.0,85.0,73.0,70.0,63.0,79.0,74.0,65.0,55.0
77,80.0,82.0,61.0,40.0,79.0,78.0,80.0,77.0,79.0,77.0,76.0,65.0,82.0,59.0,74.0,74.0,72.0,68.0
77,82.0,86.0,72.0,53.0,76.0,74.0,80.0,79.0,87.0,85.0,75.0,80.0,77.0,80.0,74.0,67.0,74.0,72.0
77,42.0,80.0,88.0,74.0,66.0,69.0,48.0,64.0,63.0,59.0,56.0,65.0,82.0,54.0,32.0,68.0,77.0,72.0
77,66.0,54.0,34.0,69.0,76.0,74.0,82.0,80.0,77.0,71.0,79.0,64.0,54.0,66.0,76.0,69.0,37.0,25.0
77,64.0,69.0,68.0,61.0,81.0,77.0,76.0,81.0,55.0,55.0,68.0,65.0,49.0,48.0,78.0,80.0,69.0,50.0
77,73.0,90.0,77.0,44.0,77.0,60.0,71.0,75.0,68.0,68.0,73.0,70.0,72.0,71.0,69.0,77.0,80.0,70.0
77,58.0,75.0,74.0,80.0,72.0,63.0,52.0,63.0,63.0,64.0,53.0,57.0,78.0,70.0,40.0,68.0,78.0,74.0
77,41.0,58.0,88.0,76.0,68.0,75.0,40.0,63.0,48.0,52.0,58.0,45.0,84.0,80.0,55.0,73.0,76.0,71.0
77,61.0,67.0,78.0,79.0,70.0,62.0,63.0,70.0,61.0,68.0,65.0,69.0,83.0,77.0,59.0,64.0,77.0,74.0
77,71.0,79.0,76.0,72.0,76.0,69.0,70.0,77.0,66.0,69.0,66.0,60.0,90.0,82.0,69.0,69.0,77.0,69.0
77,75.0,65.0,62.0,62.0,78.0,75.0,73.0,77.0,69.0,57.0,71.0,75.0,65.0,65.0,81.0,77.0,47.0,40.0
77,63.0,77.0,78.0,60.0,80.0,78.0,78.0,80.0,66.0,68.0,63.0,81.0,58.0,58.0,76.0,76.0,66.0,62.0
77,69.0,86.0,74.0,76.0,67.0,53.0,70.0,74.0,76.0,73.0,76.0,77.0,86.0,78.0,67.0,85.0,52.0,38.0
77,65.0,48.0,68.0,71.0,73.0,55.0,82.0,84.0,70.0,61.0,73.0,78.0,58.0,74.0,71.0,66.0,19.0,16.0
77,61.0,66.0,77.0,72.0,60.0,60.0,59.0,60.0,68.0,68.0,58.0,68.0,79.0,73.0,45.0,68.0,80.0,76.0
77,70.0,78.0,73.0,64.0,76.0,69.0,69.0,72.0,68.0,66.0,72.0,66.0,80.0,74.0,53.0,74.0,80.0,76.0
77,63.0,86.0,70.0,71.0,75.0,68.0,77.0,79.0,68.0,69.0,68.0,76.0,79.0,69.0,70.0,66.0,75.0,74.0
77,72.0,84.0,76.0,77.0,70.0,65.0,75.0,74.0,78.0,75.0,79.0,74.0,80.0,78.0,72.0,76.0,45.0,44.0
77,67.0,62.0,70.0,74.0,74.0,59.0,82.0,80.0,74.0,73.0,83.0,72.0,59.0,69.0,73.0,77.0,24.0,19.0
77,77.0,70.0,68.0,58.0,78.0,64.0,81.0,82.0,89.0,93.0,77.0,84.0,80.0,82.0,70.0,71.0,69.0,73.0
77,77.0,95.0,62.0,44.0,75.0,62.0,80.0,79.0,78.0,77.0,78.0,68.0,60.0,62.0,65.0,73.0,60.0,50.0
77,45.0,58.0,93.0,75.0,70.0,58.0,48.0,60.0,57.0,69.0,55.0,52.0,79.0,62.0,52.0,76.0,78.0,78.0
77,87.0,81.0,61.0,61.0,74.0,64.0,76.0,79.0,85.0,87.0,84.0,80.0,83.0,86.0,58.0,63.0,73.0,76.0
77,81.0,73.0,44.0,41.0,80.0,77.0,79.0,77.0,63.0,62.0,89.0,79.0,40.0,35.0,79.0,74.0,44.0,36.0
77,78.0,79.0,64.0,65.0,79.0,68.0,85.0,83.0,85.0,77.0,85.0,58.0,69.0,67.0,79.0,80.0,74.0,74.0
77,70.0,84.0,73.0,58.0,74.0,73.0,67.0,72.0,71.0,72.0,66.0,79.0,85.0,76.0,71.0,74.0,80.0,77.0
76,57.0,70.0,72.0,73.0,74.0,70.0,65.0,67.0,68.0,71.0,62.0,51.0,75.0,69.0,55.0,68.0,78.0,77.0
76,30.0,23.0,81.0,20.0,29.0,38.0,15.0,23.0,42.0,47.0,41.0,19.0,38.0,53.0,44.0,62.0,16.0,18.0
76,55.0,61.0,72.0,65.0,78.0,73.0,78.0,77.0,63.0,59.0,71.0,65.0,72.0,44.0,77.0,71.0,73.0,67.0
76,78.0,70.0,46.0,74.0,75.0,53.0,78.0,79.0,77.0,77.0,78.0,70.0,57.0,75.0,69.0,69.0,28.0,25.0
76,74.0,80.0,67.0,68.0,73.0,65.0,71.0,75.0,78.0,80.0,76.0,67.0,72.0,71.0,65.0,73.0,77.0,76.0
76,48.0,65.0,78.0,77.0,68.0,58.0,39.0,65.0,47.0,50.0,48.0,27.0,79.0,76.0,44.0,71.0,78.0,77.0
76,22.0,31.0,73.0,15.0,18.0,16.0,11.0,15.0,30.0,39.0,26.0,25.0,39.0,58.0,42.0,58.0,17.0,17.0
76,46.0,64.0,73.0,51.0,77.0,78.0,70.0,73.0,52.0,38.0,57.0,63.0,74.0,62.0,80.0,68.0,80.0,78.0
76,57.0,74.0,68.0,80.0,68.0,60.0,65.0,78.0,64.0,61.0,76.0,76.0,49.0,84.0,45.0,79.0,30.0,27.0
76,79.0,86.0,76.0,70.0,72.0,61.0,64.0,77.0,79.0,77.0,77.0,61.0,75.0,75.0,48.0,67.0,74.0,78.0
76,83.0,71.0,54.0,69.0,74.0,65.0,76.0,75.0,88.0,86.0,79.0,76.0,65.0,89.0,70.0,65.0,37.0,31.0
76,81.0,64.0,43.0,55.0,75.0,69.0,80.0,79.0,76.0,73.0,79.0,76.0,47.0,59.0,73.0,65.0,48.0,56.0
76,92.0,53.0,41.0,45.0,76.0,72.0,81.0,79.0,79.0,68.0,88.0,78.0,67.0,61.0,76.0,79.0,31.0,26.0
76,71.0,68.0,78.0,54.0,67.0,65.0,79.0,74.0,86.0,86.0,78.0,77.0,54.0,54.0,72.0,67.0,45.0,34.0
76,46.0,44.0,65.0,13.0,23.0,28.0,14.0,13.0,59.0,43.0,57.0,24.0,28.0,65.0,44.0,56.0,11.0,15.0
76,30.0,25.0,67.0,17.0,35.0,39.0,15.0,19.0,29.0,34.0,32.0,22.0,17.0,51.0,53.0,56.0,13.0,15.0
76,48.0,72.0,80.0,68.0,79.0,78.0,72.0,79.0,42.0,58.0,54.0,80.0,73.0,58.0,75.0,74.0,75.0,69.0
76,66.0,33.0,91.0,81.0,68.0,45.0,70.0,76.0,51.0,50.0,42.0,83.0,75.0,74.0,65.0,77.0,42.0,28.0
76,70.0,51.0,73.0,76.0,70.0,63.0,74.0,73.0,87.0,89.0,70.0,75.0,60.0,82.0,70.0,78.0,39.0,34.0
76,55.0,68.0,69.0,78.0,77.0,68.0,67.0,74.0,63.0,65.0,68.0,49.0,64.0,70.0,52.0,67.0,76.0,79.0
76,88.0,77.0,55.0,53.0,79.0,64.0,84.0,83.0,79.0,78.0,86.0,62.0,68.0,73.0,70.0,69.0,75.0,74.0
76,69.0,73.0,74.0,66.0,74.0,72.0,70.0,74.0,67.0,67.0,70.0,76.0,90.0,70.0,70.0,76.0,78.0,76.0
76,46.0,53.0,83.0,82.0,64.0,57.0,35.0,47.0,51.0,55.0,51.0,48.0,73.0,65.0,40.0,67.0,81.0,78.0
76,76.0,70.0,65.0,50.0,78.0,76.0,82.0,82.0,67.0,72.0,74.0,79.0,69.0,47.0,78.0,78.0,60.0,60.0
76,38.0,75.0,89.0,51.0,72.0,73.0,60.0,75.0,56.0,42.0,38.0,77.0,73.0,30.0,56.0,61.0,79.0,74.0
76,74.0,61.0,60.0,42.0,76.0,69.0,81.0,80.0,85.0,79.0,85.0,73.0,29.0,71.0,70.0,74.0,23.0,12.0
76,77.0,70.0,70.0,71.0,69.0,61.0,77.0,76.0,79.0,76.0,74.0,74.0,60.0,79.0,68.0,70.0,24.0,27.0
76,28.0,37.0,82.0,25.0,39.0,35.0,15.0,17.0,32.0,48.0,30.0,21.0,40.0,67.0,48.0,53.0,15.0,16.0
76,91.0,90.0,71.0,55.0,69.0,61.0,80.0,74.0,92.0,94.0,93.0,79.0,66.0,90.0,65.0,67.0,62.0,52.0
76,49.0,61.0,78.0,79.0,66.0,69.0,42.0,57.0,50.0,46.0,52.0,58.0,68.0,67.0,39.0,71.0,79.0,75.0
76,38.0,39.0,68.0,13.0,27.0,24.0,13.0,23.0,42.0,44.0,60.0,19.0,32.0,74.0,40.0,46.0,14.0,12.0
76,62.0,69.0,79.0,73.0,72.0,66.0,67.0,69.0,69.0,71.0,66.0,51.0,71.0,76.0,51.0,76.0,77.0,75.0
76,74.0,68.0,74.0,66.0,75.0,71.0,71.0,72.0,69.0,64.0,70.0,75.0,83.0,76.0,71.0,74.0,77.0,77.0
76,69.0,77.0,68.0,57.0,77.0,73.0,79.0,78.0,76.0,80.0,78.0,85.0,68.0,62.0,74.0,80.0,75.0,66.0
76,79.0,78.0,54.0,54.0,80.0,78.0,80.0,80.0,73.0,73.0,82.0,58.0,65.0,54.0,78.0,76.0,73.0,67.0
76,50.0,89.0,85.0,72.0,74.0,75.0,69.0,73.0,68.0,69.0,54.0,79.0,81.0,62.0,67.0,69.0,78.0,66.0
76,71.0,77.0,78.0,78.0,70.0,63.0,74.0,77.0,64.0,60.0,68.0,81.0,87.0,82.0,70.0,78.0,46.0,39.0
76,62.0,78.0,77.0,82.0,65.0,57.0,70.0,73.0,73.0,70.0,68.0,78.0,53.0,77.0,59.0,67.0,29.0,24.0
76,68.0,66.0,71.0,77.0,63.0,64.0,44.0,55.0,66.0,64.0,64.0,35.0,73.0,90.0,43.0,70.0,79.0,74.0
76,79.0,79.0,72.0,71.0,69.0,46.0,78.0,76.0,89.0,88.0,89.0,78.0,64.0,92.0,56.0,65.0,35.0,33.0
76,67.0,80.0,67.0,60.0,72.0,68.0,78.0,75.0,91.0,91.0,83.0,72.0,74.0,59.0,66.0,69.0,74.0,74.0
76,88.0,68.0,32.0,24.0,80.0,70.0,79.0,81.0,78.0,74.0,78.0,64.0,40.0,54.0,80.0,72.0,36.0,28.0
76,60.0,73.0,68.0,66.0,76.0,72.0,74.0,79.0,80.0,73.0,75.0,79.0,73.0,62.0,75.0,72.0,50.0,44.0
76,75.0,77.0,53.0,48.0,77.0,76.0,74.0,74.0,63.0,69.0,69.0,74.0,71.0,61.0,77.0,67.0,71.0,52.0
76,61.0,68.0,77.0,73.0,74.0,39.0,77.0,79.0,72.0,76.0,62.0,80.0,88.0,78.0,72.0,72.0,22.0,16.0
76,72.0,92.0,75.0,67.0,77.0,76.0,73.0,77.0,76.0,74.0,70.0,75.0,72.0,75.0,71.0,74.0,70.0,69.0
76,76.0,70.0,68.0,59.0,74.0,74.0,65.0,73.0,61.0,54.0,74.0,77.0,86.0,61.0,68.0,75.0,78.0,74.0
76,74.0,73.0,64.0,68.0,78.0,75.0,76.0,78.0,79.0,79.0,76.0,79.0,68.0,62.0,75.0,75.0,70.0,66.0
76,62.0,77.0,74.0,74.0,72.0,70.0,67.0,77.0,81.0,80.0,63.0,62.0,55.0,64.0,59.0,65.0,77.0,78.0
76,70.0,76.0,68.0,71.0,69.0,64.0,69.0,72.0,72.0,72.0,74.0,66.0,77.0,78.0,54.0,72.0,79.0,77.0
76,28.0,33.0,79.0,18.0,29.0,41.0,16.0,22.0,49.0,48.0,58.0,38.0,38.0,75.0,42.0,64.0,12.0,11.0
76,94.0,84.0,67.0,63.0,84.0,76.0,70.0,75.0,63.0,51.0,75.0,84.0,80.0,74.0,72.0,73.0,72.0,68.0
76,60.0,73.0,84.0,84.0,68.0,60.0,65.0,76.0,50.0,55.0,50.0,80.0,80.0,89.0,70.0,75.0,38.0,29.0
76,77.0,74.0,53.0,59.0,67.0,58.0,78.0,76.0,86.0,84.0,83.0,75.0,46.0,63.0,74.0,74.0,25.0,21.0
76,71.0,77.0,77.0,72.0,67.0,63.0,61.0,72.0,78.0,88.0,78.0,61.0,76.0,86.0,52.0,68.0,79.0,78.0
76,84.0,65.0,50.0,43.0,71.0,68.0,80.0,80.0,79.0,76.0,78.0,70.0,55.0,70.0,71.0,78.0,37.0,28.0
76,70.0,77.0,76.0,63.0,76.0,69.0,78.0,75.0,80.0,87.0,76.0,66.0,77.0,72.0,66.0,67.0,74.0,75.0
76,70.0,79.0,65.0,55.0,77.0,81.0,75.0,74.0,66.0,68.0,73.0,80.0,66.0,65.0,76.0,71.0,59.0,57.0
76,78.0,77.0,53.0,66.0,71.0,51.0,82.0,78.0,77.0,75.0,83.0,66.0,70.0,71.0,71.0,73.0,42.0,28.0
76,73.0,71.0,67.0,68.0,72.0,33.0,73.0,74.0,74.0,76.0,68.0,69.0,46.0,68.0,58.0,69.0,13.0,13.0
76,69.0,86.0,74.0,42.0,73.0,71.0,77.0,78.0,83.0,79.0,84.0,76.0,81.0,79.0,76.0,78.0,56.0,54.0
76,61.0,78.0,66.0,41.0,78.0,74.0,73.0,76.0,69.0,69.0,71.0,70.0,60.0,58.0,74.0,76.0,72.0,68.0
76,54.0,56.0,67.0,56.0,82.0,80.0,82.0,83.0,36.0,34.0,68.0,77.0,56.0,29.0,80.0,75.0,29.0,30.0
76,35.0,70.0,73.0,74.0,82.0,77.0,67.0,77.0,35.0,35.0,62.0,63.0,65.0,58.0,79.0,70.0,72.0,68.0
76,54.0,78.0,78.0,65.0,78.0,74.0,77.0,79.0,60.0,66.0,69.0,77.0,76.0,69.0,74.0,74.0,72.0,64.0
76,47.0,60.0,78.0,82.0,41.0,37.0,39.0,49.0,66.0,69.0,43.0,49.0,80.0,79.0,33.0,70.0,78.0,80.0
76,81.0,76.0,80.0,66.0,68.0,49.0,74.0,76.0,78.0,74.0,78.0,74.0,65.0,74.0,70.0,80.0,40.0,37.0
76,67.0,73.0,70.0,44.0,74.0,72.0,76.0,80.0,61.0,65.0,72.0,81.0,82.0,57.0,79.0,77.0,56.0,41.0
76,76.0,73.0,44.0,47.0,73.0,69.0,84.0,82.0,78.0,75.0,86.0,64.0,57.0,57.0,78.0,77.0,43.0,42.0
76,38.0,79.0,88.0,74.0,66.0,61.0,38.0,61.0,61.0,69.0,48.0,73.0,70.0,56.0,34.0,68.0,77.0,73.0
76,57.0,74.0,72.0,65.0,76.0,69.0,75.0,75.0,67.0,74.0,66.0,74.0,72.0,74.0,64.0,74.0,77.0,76.0
76,65.0,64.0,69.0,64.0,70.0,57.0,81.0,80.0,85.0,91.0,82.0,86.0,50.0,69.0,72.0,69.0,24.0,20.0
76,69.0,73.0,67.0,63.0,77.0,73.0,73.0,77.0,75.0,76.0,72.0,76.0,69.0,68.0,72.0,74.0,77.0,73.0
76,70.0,75.0,62.0,70.0,81.0,77.0,69.0,76.0,60.0,53.0,79.0,71.0,72.0,65.0,77.0,80.0,61.0,62.0
76,44.0,73.0,86.0,76.0,64.0,60.0,50.0,58.0,61.0,66.0,50.0,48.0,82.0,76.0,49.0,70.0,75.0,75.0
76,76.0,66.0,65.0,53.0,81.0,80.0,73.0,80.0,55.0,53.0,85.0,79.0,62.0,55.0,83.0,72.0,52.0,12.0
76,72.0,78.0,70.0,62.0,77.0,79.0,74.0,76.0,42.0,45.0,62.0,74.0,85.0,57.0,78.0,77.0,74.0,76.0
76,77.0,75.0,57.0,50.0,68.0,64.0,80.0,77.0,93.0,86.0,90.0,79.0,67.0,41.0,70.0,72.0,29.0,36.0
76,46.0,66.0,87.0,87.0,64.0,48.0,65.0,74.0,59.0,68.0,66.0,78.0,56.0,82.0,68.0,70.0,25.0,18.0
76,76.0,88.0,68.0,56.0,76.0,74.0,77.0,77.0,74.0,74.0,77.0,75.0,70.0,67.0,72.0,80.0,74.0,72.0
76,83.0,87.0,81.0,51.0,69.0,70.0,78.0,73.0,86.0,84.0,81.0,86.0,74.0,77.0,74.0,72.0,40.0,33.0
76,78.0,77.0,61.0,45.0,78.0,76.0,76.0,72.0,76.0,79.0,79.0,69.0,56.0,61.0,79.0,61.0,52.0,49.0
76,62.0,73.0,77.0,70.0,71.0,66.0,60.0,70.0,59.0,66.0,60.0,54.0,75.0,71.0,49.0,72.0,78.0,77.0
76,58.0,82.0,81.0,82.0,69.0,45.0,65.0,70.0,66.0,74.0,61.0,77.0,77.0,69.0,65.0,74.0,22.0,20.0
76,72.0,80.0,61.0,66.0,77.0,74.0,77.0,71.0,74.0,77.0,81.0,34.0,81.0,65.0,56.0,73.0,76.0,77.0
76,76.0,88.0,80.0,60.0,77.0,76.0,50.0,70.0,58.0,70.0,77.0,65.0,83.0,81.0,52.0,80.0,77.0,68.0
76,79.0,91.0,82.0,48.0,76.0,69.0,74.0,76.0,78.0,78.0,81.0,74.0,83.0,77.0,70.0,79.0,76.0,73.0
76,80.0,79.0,59.0,45.0,79.0,74.0,78.0,79.0,70.0,67.0,77.0,75.0,63.0,66.0,76.0,70.0,72.0,69.0
76,57.0,66.0,79.0,74.0,68.0,52.0,50.0,65.0,61.0,69.0,59.0,75.0,82.0,78.0,59.0,69.0,76.0,79.0
76,55.0,37.0,69.0,22.0,33.0,48.0,12.0,30.0,43.0,46.0,39.0,23.0,30.0,70.0,47.0,57.0,11.0,12.0
76,77.0,76.0,65.0,40.0,77.0,67.0,83.0,82.0,82.0,83.0,79.0,74.0,42.0,44.0,68.0,74.0,38.0,36.0
76,54.0,70.0,77.0,71.0,78.0,75.0,77.0,80.0,73.0,75.0,72.0,81.0,56.0,70.0,77.0,72.0,59.0,53.0
76,75.0,55.0,77.0,60.0,76.0,70.0,82.0,82.0,74.0,66.0,74.0,82.0,48.0,52.0,73.0,83.0,48.0,41.0
76,80.0,66.0,75.0,59.0,74.0,76.0,81.0,80.0,82.0,84.0,82.0,74.0,78.0,58.0,71.0,70.0,38.0,32.0
76,76.0,58.0,68.0,76.0,68.0,42.0,74.0,76.0,73.0,73.0,73.0,74.0,60.0,79.0,58.0,76.0,22.0,20.0
76,80.0,71.0,61.0,57.0,75.0,74.0,78.0,77.0,66.0,70.0,77.0,82.0,80.0,52.0,76.0,71.0,53.0,59.0
76,51.0,31.0,55.0,10.0,27.0,26.0,18.0,23.0,55.0,45.0,53.0,19.0,40.0,68.0,49.0,60.0,12.0,11.0
76,59.0,69.0,70.0,71.0,84.0,79.0,74.0,80.0,60.0,61.0,67.0,82.0,68.0,68.0,79.0,81.0,70.0,71.0
76,81.0,70.0,44.0,57.0,67.0,63.0,83.0,76.0,90.0,90.0,91.0,71.0,53.0,91.0,67.0,70.0,38.0,25.0
76,75.0,76.0,56.0,44.0,66.0,49.0,81.0,78.0,90.0,87.0,90.0,77.0,43.0,68.0,69.0,73.0,20.0,19.0
76,88.0,74.0,55.0,43.0,73.0,63.0,82.0,79.0,79.0,79.0,83.0,74.0,61.0,66.0,69.0,80.0,37.0,29.0
76,75.0,69.0,68.0,58.0,72.0,67.0,78.0,76.0,90.0,85.0,82.0,78.0,46.0,77.0,71.0,73.0,33.0,35.0
76,72.0,76.0,65.0,65.0,72.0,66.0,81.0,78.0,84.0,76.0,86.0,77.0,60.0,77.0,73.0,73.0,45.0,36.0
76,65.0,78.0,80.0,76.0,66.0,56.0,57.0,62.0,60.0,63.0,65.0,50.0,70.0,90.0,44.0,70.0,75.0,72.0
76,74.0,60.0,54.0,47.0,77.0,75.0,80.0,82.0,64.0,63.0,76.0,71.0,73.0,70.0,77.0,82.0,35.0,32.0
76,62.0,75.0,70.0,80.0,77.0,68.0,58.0,66.0,62.0,66.0,62.0,59.0,71.0,77.0,45.0,66.0,78.0,76.0
76,60.0,64.0,87.0,77.0,58.0,56.0,46.0,50.0,59.0,67.0,62.0,67.0,89.0,86.0,47.0,58.0,79.0,79.0
76,66.0,80.0,69.0,63.0,80.0,76.0,72.0,76.0,67.0,66.0,70.0,66.0,71.0,53.0,76.0,70.0,73.0,68.0
76,74.0,69.0,59.0,49.0,81.0,78.0,77.0,80.0,53.0,50.0,60.0,69.0,55.0,37.0,79.0,79.0,50.0,28.0
76,53.0,34.0,67.0,20.0,34.0,32.0,14.0,19.0,47.0,53.0,68.0,23.0,24.0,77.0,38.0,56.0,15.0,14.0
76,77.0,74.0,76.0,68.0,76.0,58.0,69.0,75.0,69.0,75.0,71.0,54.0,73.0,84.0,59.0,66.0,77.0,79.0
76,66.0,80.0,70.0,47.0,74.0,73.0,78.0,76.0,77.0,73.0,75.0,76.0,61.0,64.0,76.0,70.0,73.0,67.0
76,64.0,55.0,70.0,76.0,78.0,58.0,74.0,76.0,56.0,60.0,65.0,79.0,73.0,76.0,75.0,76.0,41.0,38.0
76,58.0,75.0,75.0,60.0,78.0,77.0,74.0,79.0,54.0,52.0,61.0,72.0,83.0,66.0,74.0,75.0,71.0,62.0
76,71.0,88.0,73.0,61.0,75.0,72.0,77.0,77.0,81.0,78.0,79.0,80.0,77.0,69.0,73.0,74.0,72.0,71.0
76,76.0,75.0,64.0,68.0,76.0,66.0,74.0,75.0,73.0,73.0,77.0,69.0,74.0,68.0,63.0,76.0,79.0,78.0
76,65.0,69.0,75.0,71.0,78.0,79.0,74.0,78.0,62.0,69.0,71.0,75.0,74.0,70.0,76.0,68.0,77.0,74.0
76,74.0,89.0,72.0,58.0,78.0,72.0,79.0,77.0,81.0,82.0,82.0,72.0,50.0,70.0,74.0,70.0,61.0,61.0
76,74.0,87.0,68.0,70.0,75.0,75.0,74.0,77.0,77.0,82.0,75.0,75.0,61.0,77.0,74.0,74.0,79.0,79.0
76,90.0,85.0,60.0,39.0,73.0,65.0,78.0,76.0,78.0,77.0,80.0,69.0,49.0,52.0,78.0,74.0,40.0,32.0
76,50.0,59.0,81.0,76.0,58.0,58.0,50.0,54.0,59.0,55.0,58.0,65.0,76.0,78.0,28.0,74.0,78.0,77.0
76,77.0,75.0,69.0,60.0,79.0,77.0,78.0,78.0,71.0,69.0,76.0,80.0,60.0,68.0,76.0,67.0,69.0,68.0
76,70.0,90.0,75.0,70.0,76.0,74.0,68.0,74.0,68.0,68.0,62.0,74.0,79.0,79.0,72.0,76.0,78.0,76.0
76,69.0,74.0,71.0,74.0,77.0,55.0,62.0,73.0,71.0,72.0,66.0,50.0,70.0,60.0,31.0,64.0,79.0,80.0
76,78.0,71.0,64.0,73.0,74.0,59.0,78.0,76.0,77.0,76.0,78.0,70.0,65.0,81.0,78.0,77.0,39.0,32.0
76,36.0,82.0,89.0,76.0,66.0,67.0,51.0,60.0,55.0,49.0,40.0,69.0,81.0,63.0,64.0,71.0,75.0,74.0
76,72.0,70.0,78.0,63.0,78.0,81.0,84.0,81.0,61.0,58.0,74.0,86.0,59.0,54.0,77.0,80.0,33.0,31.0
